Notes	State	State Code	Year	Year Code	Age Group	Age Group Code	Gender	Gender Code	Cause of death	Cause of death Code	Deaths	Population	Crude Rate
	Alabama	1	2007	2007	55-64 years	55-64	Male	M	"Liver, unspecified - Malignant neoplasms"	C22.9	24	259292	9.3
	Alabama	1	2007	2007	55-64 years	55-64	Male	M	"Pancreas, unspecified - Malignant neoplasms"	C25.9	55	259292	21.2
	Alabama	1	2007	2007	55-64 years	55-64	Male	M	"Larynx, unspecified - Malignant neoplasms"	C32.9	16	259292	6.2 (Unreliable)
	Alabama	1	2007	2007	55-64 years	55-64	Male	M	"Bronchus or lung, unspecified - Malignant neoplasms"	C34.9	468	259292	180.5
	Alabama	1	2007	2007	55-64 years	55-64	Male	M	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	C43.9	30	259292	11.6
	Alabama	1	2007	2007	55-64 years	55-64	Male	M	Malignant neoplasm of prostate	C61	38	259292	14.7
	Alabama	1	2007	2007	55-64 years	55-64	Male	M	"Malignant neoplasm of kidney, except renal pelvis"	C64	29	259292	11.2
	Alabama	1	2007	2007	55-64 years	55-64	Male	M	"Bladder, unspecified - Malignant neoplasms"	C67.9	19	259292	7.3 (Unreliable)
	Alabama	1	2007	2007	55-64 years	55-64	Male	M	"Brain, unspecified - Malignant neoplasms"	C71.9	30	259292	11.6
	Alabama	1	2007	2007	55-64 years	55-64	Male	M	"Non-Hodgkin lymphoma, unspecified type"	C85.9	17	259292	6.6 (Unreliable)
	Alabama	1	2007	2007	55-64 years	55-64	Male	M	Multiple myeloma - Malignant neoplasms	C90.0	22	259292	8.5
	Alabama	1	2007	2007	55-64 years	55-64	Male	M	Acute myeloid leukaemia - Malignant neoplasms	C92.0	12	259292	4.6 (Unreliable)
	Alabama	1	2007	2007	65-74 years	65-74	Female	F	"Stomach, unspecified - Malignant neoplasms"	C16.9	14	186312	7.5 (Unreliable)
	Alabama	1	2007	2007	65-74 years	65-74	Female	F	"Colon, unspecified - Malignant neoplasms"	C18.9	91	186312	48.8
	Alabama	1	2007	2007	65-74 years	65-74	Female	F	Malignant neoplasm of rectum	C20	11	186312	5.9 (Unreliable)
	Alabama	1	2007	2007	65-74 years	65-74	Female	F	"Liver, unspecified - Malignant neoplasms"	C22.9	16	186312	8.6 (Unreliable)
	Alabama	1	2007	2007	65-74 years	65-74	Female	F	"Pancreas, unspecified - Malignant neoplasms"	C25.9	74	186312	39.7
	Alabama	1	2007	2007	65-74 years	65-74	Female	F	"Bronchus or lung, unspecified - Malignant neoplasms"	C34.9	360	186312	193.2
	Alabama	1	2007	2007	65-74 years	65-74	Female	F	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	C43.9	13	186312	7.0 (Unreliable)
	Alabama	1	2007	2007	65-74 years	65-74	Female	F	"Breast, unspecified - Malignant neoplasms"	C50.9	127	186312	68.2
	Alabama	1	2007	2007	65-74 years	65-74	Female	F	"Cervix uteri, unspecified - Malignant neoplasms"	C53.9	13	186312	7.0 (Unreliable)
	Alabama	1	2007	2007	65-74 years	65-74	Female	F	Endometrium - Malignant neoplasms	C54.1	12	186312	6.4 (Unreliable)
	Alabama	1	2007	2007	65-74 years	65-74	Female	F	"Malignant neoplasm of uterus, part unspecified"	C55	13	186312	7.0 (Unreliable)
	Alabama	1	2007	2007	65-74 years	65-74	Female	F	Malignant neoplasm of ovary	C56	77	186312	41.3
	Alabama	1	2007	2007	65-74 years	65-74	Female	F	"Malignant neoplasm of kidney, except renal pelvis"	C64	16	186312	8.6 (Unreliable)
	Alabama	1	2007	2007	65-74 years	65-74	Female	F	"Brain, unspecified - Malignant neoplasms"	C71.9	30	186312	16.1
	Alabama	1	2007	2007	65-74 years	65-74	Female	F	"Non-Hodgkin lymphoma, unspecified type"	C85.9	27	186312	14.5
	Alabama	1	2007	2007	65-74 years	65-74	Female	F	Multiple myeloma - Malignant neoplasms	C90.0	34	186312	18.2
	Alabama	1	2007	2007	65-74 years	65-74	Female	F	Acute myeloid leukaemia - Malignant neoplasms	C92.0	11	186312	5.9 (Unreliable)
	Alabama	1	2007	2007	65-74 years	65-74	Male	M	"Pharynx, unspecified - Malignant neoplasms"	C14.0	15	156299	9.6 (Unreliable)
	Alabama	1	2007	2007	65-74 years	65-74	Male	M	"Oesophagus, unspecified - Malignant neoplasms"	C15.9	51	156299	32.6
	Alabama	1	2007	2007	65-74 years	65-74	Male	M	"Stomach, unspecified - Malignant neoplasms"	C16.9	26	156299	16.6
	Alabama	1	2007	2007	65-74 years	65-74	Male	M	"Colon, unspecified - Malignant neoplasms"	C18.9	102	156299	65.3
	Alabama	1	2007	2007	65-74 years	65-74	Male	M	Malignant neoplasm of rectum	C20	15	156299	9.6 (Unreliable)
	Alabama	1	2007	2007	65-74 years	65-74	Male	M	Liver cell carcinoma - Malignant neoplasms	C22.0	17	156299	10.9 (Unreliable)
	Alabama	1	2007	2007	65-74 years	65-74	Male	M	"Liver, unspecified - Malignant neoplasms"	C22.9	24	156299	15.4
	Alabama	1	2007	2007	65-74 years	65-74	Male	M	"Pancreas, unspecified - Malignant neoplasms"	C25.9	108	156299	69.1
	Alabama	1	2007	2007	65-74 years	65-74	Male	M	"Larynx, unspecified - Malignant neoplasms"	C32.9	13	156299	8.3 (Unreliable)
	Alabama	1	2007	2007	65-74 years	65-74	Male	M	"Bronchus or lung, unspecified - Malignant neoplasms"	C34.9	669	156299	428
	Alabama	1	2007	2007	65-74 years	65-74	Male	M	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	C43.9	25	156299	16
	Alabama	1	2007	2007	65-74 years	65-74	Male	M	Malignant neoplasm of prostate	C61	114	156299	72.9
	Alabama	1	2007	2007	65-74 years	65-74	Male	M	"Malignant neoplasm of kidney, except renal pelvis"	C64	28	156299	17.9
	Alabama	1	2007	2007	65-74 years	65-74	Male	M	"Bladder, unspecified - Malignant neoplasms"	C67.9	37	156299	23.7
	Alabama	1	2007	2007	65-74 years	65-74	Male	M	"Brain, unspecified - Malignant neoplasms"	C71.9	36	156299	23
	Alabama	1	2007	2007	65-74 years	65-74	Male	M	"Non-Hodgkin lymphoma, unspecified type"	C85.9	49	156299	31.4
	Alabama	1	2007	2007	65-74 years	65-74	Male	M	Multiple myeloma - Malignant neoplasms	C90.0	28	156299	17.9
	Alabama	1	2007	2007	65-74 years	65-74	Male	M	Acute myeloid leukaemia - Malignant neoplasms	C92.0	16	156299	10.2 (Unreliable)
	Alabama	1	2007	2007	65-74 years	65-74	Male	M	"Leukaemia, unspecified - Malignant neoplasms"	C95.9	18	156299	11.5 (Unreliable)
	Alabama	1	2007	2007	75-84 years	75-84	Female	F	"Stomach, unspecified - Malignant neoplasms"	C16.9	26	126043	20.6
	Alabama	1	2007	2007	75-84 years	75-84	Female	F	"Colon, unspecified - Malignant neoplasms"	C18.9	91	126043	72.2
	Alabama	1	2007	2007	75-84 years	75-84	Female	F	Intrahepatic bile duct carcinoma - Malignant neoplasms	C22.1	11	126043	8.7 (Unreliable)
	Alabama	1	2007	2007	75-84 years	75-84	Female	F	"Liver, unspecified - Malignant neoplasms"	C22.9	15	126043	11.9 (Unreliable)
	Alabama	1	2007	2007	75-84 years	75-84	Female	F	"Pancreas, unspecified - Malignant neoplasms"	C25.9	102	126043	80.9
	Alabama	1	2007	2007	75-84 years	75-84	Female	F	"Bronchus or lung, unspecified - Malignant neoplasms"	C34.9	331	126043	262.6
	Alabama	1	2007	2007	75-84 years	75-84	Female	F	"Breast, unspecified - Malignant neoplasms"	C50.9	144	126043	114.2
	Alabama	1	2007	2007	75-84 years	75-84	Female	F	"Cervix uteri, unspecified - Malignant neoplasms"	C53.9	16	126043	12.7 (Unreliable)
	Alabama	1	2007	2007	75-84 years	75-84	Female	F	Endometrium - Malignant neoplasms	C54.1	17	126043	13.5 (Unreliable)
	Alabama	1	2007	2007	75-84 years	75-84	Female	F	"Malignant neoplasm of uterus, part unspecified"	C55	15	126043	11.9 (Unreliable)
	Alabama	1	2007	2007	75-84 years	75-84	Female	F	Malignant neoplasm of ovary	C56	62	126043	49.2
	Alabama	1	2007	2007	75-84 years	75-84	Female	F	"Malignant neoplasm of kidney, except renal pelvis"	C64	23	126043	18.2
	Alabama	1	2007	2007	75-84 years	75-84	Female	F	"Bladder, unspecified - Malignant neoplasms"	C67.9	23	126043	18.2
	Alabama	1	2007	2007	75-84 years	75-84	Female	F	"Brain, unspecified - Malignant neoplasms"	C71.9	26	126043	20.6
	Alabama	1	2007	2007	75-84 years	75-84	Female	F	"Non-Hodgkin lymphoma, unspecified type"	C85.9	49	126043	38.9
	Alabama	1	2007	2007	75-84 years	75-84	Female	F	Multiple myeloma - Malignant neoplasms	C90.0	29	126043	23
	Alabama	1	2007	2007	75-84 years	75-84	Female	F	Acute myeloid leukaemia - Malignant neoplasms	C92.0	12	126043	9.5 (Unreliable)
	Alabama	1	2007	2007	75-84 years	75-84	Female	F	"Leukaemia, unspecified - Malignant neoplasms"	C95.9	13	126043	10.3 (Unreliable)
	Alabama	1	2007	2007	75-84 years	75-84	Male	M	"Oesophagus, unspecified - Malignant neoplasms"	C15.9	33	82498	40
	Alabama	1	2007	2007	75-84 years	75-84	Male	M	"Stomach, unspecified - Malignant neoplasms"	C16.9	24	82498	29.1
	Alabama	1	2007	2007	75-84 years	75-84	Male	M	"Colon, unspecified - Malignant neoplasms"	C18.9	91	82498	110.3
	Alabama	1	2007	2007	75-84 years	75-84	Male	M	Malignant neoplasm of rectum	C20	10	82498	12.1 (Unreliable)
	Alabama	1	2007	2007	75-84 years	75-84	Male	M	Liver cell carcinoma - Malignant neoplasms	C22.0	12	82498	14.5 (Unreliable)
	Alabama	1	2007	2007	75-84 years	75-84	Male	M	"Liver, unspecified - Malignant neoplasms"	C22.9	18	82498	21.8 (Unreliable)
	Alabama	1	2007	2007	75-84 years	75-84	Male	M	"Pancreas, unspecified - Malignant neoplasms"	C25.9	70	82498	84.9
	Alabama	1	2007	2007	75-84 years	75-84	Male	M	"Larynx, unspecified - Malignant neoplasms"	C32.9	11	82498	13.3 (Unreliable)
	Alabama	1	2007	2007	75-84 years	75-84	Male	M	"Bronchus or lung, unspecified - Malignant neoplasms"	C34.9	506	82498	613.3
	Alabama	1	2007	2007	75-84 years	75-84	Male	M	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	C43.9	13	82498	15.8 (Unreliable)
	Alabama	1	2007	2007	75-84 years	75-84	Male	M	Malignant neoplasm of prostate	C61	219	82498	265.5
	Alabama	1	2007	2007	75-84 years	75-84	Male	M	"Malignant neoplasm of kidney, except renal pelvis"	C64	29	82498	35.2
	Alabama	1	2007	2007	75-84 years	75-84	Male	M	"Bladder, unspecified - Malignant neoplasms"	C67.9	47	82498	57
	Alabama	1	2007	2007	75-84 years	75-84	Male	M	"Brain, unspecified - Malignant neoplasms"	C71.9	14	82498	17.0 (Unreliable)
	Alabama	1	2007	2007	75-84 years	75-84	Male	M	"Non-Hodgkin lymphoma, unspecified type"	C85.9	34	82498	41.2
	Alabama	1	2007	2007	75-84 years	75-84	Male	M	Multiple myeloma - Malignant neoplasms	C90.0	37	82498	44.8
	Alabama	1	2007	2007	75-84 years	75-84	Male	M	Chronic lymphocytic leukaemia - Malignant neoplasms	C91.1	14	82498	17.0 (Unreliable)
	Alabama	1	2007	2007	75-84 years	75-84	Male	M	Acute myeloid leukaemia - Malignant neoplasms	C92.0	14	82498	17.0 (Unreliable)
	Alabama	1	2007	2007	75-84 years	75-84	Male	M	"Leukaemia, unspecified - Malignant neoplasms"	C95.9	12	82498	14.5 (Unreliable)
	Alabama	1	2007	2007	85+ years	85+	Female	F	"Stomach, unspecified - Malignant neoplasms"	C16.9	13	50174	25.9 (Unreliable)
	Alabama	1	2007	2007	85+ years	85+	Female	F	"Colon, unspecified - Malignant neoplasms"	C18.9	64	50174	127.6
	Alabama	1	2007	2007	85+ years	85+	Female	F	"Liver, unspecified - Malignant neoplasms"	C22.9	12	50174	23.9 (Unreliable)
	Alabama	1	2007	2007	85+ years	85+	Female	F	"Pancreas, unspecified - Malignant neoplasms"	C25.9	51	50174	101.6
	Alabama	1	2007	2007	85+ years	85+	Female	F	"Bronchus or lung, unspecified - Malignant neoplasms"	C34.9	99	50174	197.3
	Alabama	1	2007	2007	85+ years	85+	Female	F	"Breast, unspecified - Malignant neoplasms"	C50.9	80	50174	159.4
	Alabama	1	2007	2007	85+ years	85+	Female	F	"Cervix uteri, unspecified - Malignant neoplasms"	C53.9	10	50174	19.9 (Unreliable)
	Alabama	1	2007	2007	85+ years	85+	Female	F	Malignant neoplasm of ovary	C56	33	50174	65.8
	Alabama	1	2007	2007	85+ years	85+	Female	F	"Malignant neoplasm of kidney, except renal pelvis"	C64	16	50174	31.9 (Unreliable)
	Alabama	1	2007	2007	85+ years	85+	Female	F	"Bladder, unspecified - Malignant neoplasms"	C67.9	20	50174	39.9
	Alabama	1	2007	2007	85+ years	85+	Female	F	"Brain, unspecified - Malignant neoplasms"	C71.9	10	50174	19.9 (Unreliable)
	Alabama	1	2007	2007	85+ years	85+	Female	F	"Non-Hodgkin lymphoma, unspecified type"	C85.9	27	50174	53.8
	Alabama	1	2007	2007	85+ years	85+	Female	F	Multiple myeloma - Malignant neoplasms	C90.0	25	50174	49.8
	Alabama	1	2007	2007	85+ years	85+	Female	F	Chronic lymphocytic leukaemia - Malignant neoplasms	C91.1	14	50174	27.9 (Unreliable)
	Alabama	1	2007	2007	85+ years	85+	Male	M	"Oesophagus, unspecified - Malignant neoplasms"	C15.9	16	20744	77.1 (Unreliable)
	Alabama	1	2007	2007	85+ years	85+	Male	M	"Stomach, unspecified - Malignant neoplasms"	C16.9	14	20744	67.5 (Unreliable)
	Alabama	1	2007	2007	85+ years	85+	Male	M	"Colon, unspecified - Malignant neoplasms"	C18.9	43	20744	207.3
	Alabama	1	2007	2007	85+ years	85+	Male	M	"Liver, unspecified - Malignant neoplasms"	C22.9	12	20744	57.8 (Unreliable)
	Alabama	1	2007	2007	85+ years	85+	Male	M	"Pancreas, unspecified - Malignant neoplasms"	C25.9	22	20744	106.1
	Alabama	1	2007	2007	85+ years	85+	Male	M	"Bronchus or lung, unspecified - Malignant neoplasms"	C34.9	136	20744	655.6
	Alabama	1	2007	2007	85+ years	85+	Male	M	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	C43.9	13	20744	62.7 (Unreliable)
	Alabama	1	2007	2007	85+ years	85+	Male	M	Malignant neoplasm of prostate	C61	162	20744	780.9
	Alabama	1	2007	2007	85+ years	85+	Male	M	"Bladder, unspecified - Malignant neoplasms"	C67.9	15	20744	72.3 (Unreliable)
	Alabama	1	2007	2007	85+ years	85+	Male	M	"Non-Hodgkin lymphoma, unspecified type"	C85.9	21	20744	101.2
	Alabama	1	2007	2007	85+ years	85+	Male	M	Multiple myeloma - Malignant neoplasms	C90.0	11	20744	53.0 (Unreliable)
	Alabama	1	2007	2007	85+ years	85+	Male	M	Chronic lymphocytic leukaemia - Malignant neoplasms	C91.1	10	20744	48.2 (Unreliable)
	Alabama	1	2007	2007	85+ years	85+	Male	M	"Leukaemia, unspecified - Malignant neoplasms"	C95.9	12	20744	57.8 (Unreliable)
	Alabama	1	2008	2008	35-44 years	35-44	Female	F	"Bronchus or lung, unspecified - Malignant neoplasms"	C34.9	18	322821	5.6 (Unreliable)
	Alabama	1	2008	2008	35-44 years	35-44	Female	F	"Breast, unspecified - Malignant neoplasms"	C50.9	26	322821	8.1
	Alabama	1	2008	2008	35-44 years	35-44	Female	F	"Cervix uteri, unspecified - Malignant neoplasms"	C53.9	15	322821	4.6 (Unreliable)
	Alabama	1	2008	2008	35-44 years	35-44	Male	M	"Colon, unspecified - Malignant neoplasms"	C18.9	11	309813	3.6 (Unreliable)
	Alabama	1	2008	2008	35-44 years	35-44	Male	M	"Bronchus or lung, unspecified - Malignant neoplasms"	C34.9	25	309813	8.1
	Alabama	1	2008	2008	45-54 years	45-54	Female	F	"Colon, unspecified - Malignant neoplasms"	C18.9	29	353830	8.2
	Alabama	1	2008	2008	45-54 years	45-54	Female	F	"Pancreas, unspecified - Malignant neoplasms"	C25.9	23	353830	6.5
	Alabama	1	2008	2008	45-54 years	45-54	Female	F	"Bronchus or lung, unspecified - Malignant neoplasms"	C34.9	100	353830	28.3
	Alabama	1	2008	2008	45-54 years	45-54	Female	F	"Breast, unspecified - Malignant neoplasms"	C50.9	112	353830	31.7
	Alabama	1	2008	2008	45-54 years	45-54	Female	F	"Cervix uteri, unspecified - Malignant neoplasms"	C53.9	20	353830	5.7
	Alabama	1	2008	2008	45-54 years	45-54	Female	F	Malignant neoplasm of ovary	C56	24	353830	6.8
	Alabama	1	2008	2008	45-54 years	45-54	Female	F	"Brain, unspecified - Malignant neoplasms"	C71.9	11	353830	3.1 (Unreliable)
	Alabama	1	2008	2008	45-54 years	45-54	Male	M	"Oesophagus, unspecified - Malignant neoplasms"	C15.9	25	334324	7.5
	Alabama	1	2008	2008	45-54 years	45-54	Male	M	"Colon, unspecified - Malignant neoplasms"	C18.9	48	334324	14.4
	Alabama	1	2008	2008	45-54 years	45-54	Male	M	Malignant neoplasm of rectum	C20	11	334324	3.3 (Unreliable)
	Alabama	1	2008	2008	45-54 years	45-54	Male	M	Liver cell carcinoma - Malignant neoplasms	C22.0	15	334324	4.5 (Unreliable)
	Alabama	1	2008	2008	45-54 years	45-54	Male	M	"Liver, unspecified - Malignant neoplasms"	C22.9	15	334324	4.5 (Unreliable)
	Alabama	1	2008	2008	45-54 years	45-54	Male	M	"Pancreas, unspecified - Malignant neoplasms"	C25.9	46	334324	13.8
	Alabama	1	2008	2008	45-54 years	45-54	Male	M	"Larynx, unspecified - Malignant neoplasms"	C32.9	11	334324	3.3 (Unreliable)
	Alabama	1	2008	2008	45-54 years	45-54	Male	M	"Bronchus or lung, unspecified - Malignant neoplasms"	C34.9	177	334324	52.9
	Alabama	1	2008	2008	45-54 years	45-54	Male	M	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	C43.9	16	334324	4.8 (Unreliable)
	Alabama	1	2008	2008	45-54 years	45-54	Male	M	Malignant neoplasm of prostate	C61	13	334324	3.9 (Unreliable)
	Alabama	1	2008	2008	45-54 years	45-54	Male	M	"Malignant neoplasm of kidney, except renal pelvis"	C64	15	334324	4.5 (Unreliable)
	Alabama	1	2008	2008	45-54 years	45-54	Male	M	"Brain, unspecified - Malignant neoplasms"	C71.9	24	334324	7.2
	Alabama	1	2008	2008	45-54 years	45-54	Male	M	Multiple myeloma - Malignant neoplasms	C90.0	12	334324	3.6 (Unreliable)
	Alabama	1	2008	2008	55-64 years	55-64	Female	F	"Colon, unspecified - Malignant neoplasms"	C18.9	59	290035	20.3
	Alabama	1	2008	2008	55-64 years	55-64	Female	F	"Pancreas, unspecified - Malignant neoplasms"	C25.9	48	290035	16.5
	Alabama	1	2008	2008	55-64 years	55-64	Female	F	"Bronchus or lung, unspecified - Malignant neoplasms"	C34.9	247	290035	85.2
	Alabama	1	2008	2008	55-64 years	55-64	Female	F	"Breast, unspecified - Malignant neoplasms"	C50.9	168	290035	57.9
	Alabama	1	2008	2008	55-64 years	55-64	Female	F	"Cervix uteri, unspecified - Malignant neoplasms"	C53.9	11	290035	3.8 (Unreliable)
	Alabama	1	2008	2008	55-64 years	55-64	Female	F	Endometrium - Malignant neoplasms	C54.1	14	290035	4.8 (Unreliable)
	Alabama	1	2008	2008	55-64 years	55-64	Female	F	Malignant neoplasm of ovary	C56	53	290035	18.3
	Alabama	1	2008	2008	55-64 years	55-64	Female	F	"Malignant neoplasm of kidney, except renal pelvis"	C64	18	290035	6.2 (Unreliable)
	Alabama	1	2008	2008	55-64 years	55-64	Female	F	"Brain, unspecified - Malignant neoplasms"	C71.9	24	290035	8.3
	Alabama	1	2008	2008	55-64 years	55-64	Female	F	"Non-Hodgkin lymphoma, unspecified type"	C85.9	19	290035	6.6 (Unreliable)
	Alabama	1	2008	2008	55-64 years	55-64	Female	F	Multiple myeloma - Malignant neoplasms	C90.0	10	290035	3.4 (Unreliable)
	Alabama	1	2008	2008	55-64 years	55-64	Female	F	Acute myeloid leukaemia - Malignant neoplasms	C92.0	11	290035	3.8 (Unreliable)
	Alabama	1	2008	2008	55-64 years	55-64	Male	M	"Oesophagus, unspecified - Malignant neoplasms"	C15.9	58	266305	21.8
	Alabama	1	2008	2008	55-64 years	55-64	Male	M	"Stomach, unspecified - Malignant neoplasms"	C16.9	28	266305	10.5
	Alabama	1	2008	2008	55-64 years	55-64	Male	M	"Colon, unspecified - Malignant neoplasms"	C18.9	87	266305	32.7
	Alabama	1	2008	2008	55-64 years	55-64	Male	M	Malignant neoplasm of rectosigmoid junction	C19	11	266305	4.1 (Unreliable)
	Alabama	1	2008	2008	55-64 years	55-64	Male	M	Malignant neoplasm of rectum	C20	19	266305	7.1 (Unreliable)
	Alabama	1	2008	2008	55-64 years	55-64	Male	M	Liver cell carcinoma - Malignant neoplasms	C22.0	33	266305	12.4
	Alabama	1	2008	2008	55-64 years	55-64	Male	M	"Liver, unspecified - Malignant neoplasms"	C22.9	31	266305	11.6
	Alabama	1	2008	2008	55-64 years	55-64	Male	M	"Pancreas, unspecified - Malignant neoplasms"	C25.9	71	266305	26.7
